transport,country,corridor,bcp_code,bcp_name,direction,tfi1_h,tfi2_usd
road,People's Republic of China,P08,P08-1,Alashankou,Inbound,,
road,People's Republic of China,P10,P10-1,Erenhot,Inbound,,
road,People's Republic of China,P11,P11-1,Horgos,Inbound,,
road,People's Republic of China,P13,P13-1,Irkeshtan,Inbound,2.3,
road,People's Republic of China,P50,P50-1,Karasu,Inbound,,
road,People's Republic of China,P56,P56-1,Khunjerab,Inbound,,
road,People's Republic of China,P09,P09-1,Takeshikent,Inbound,,
road,People's Republic of China,P12,P12-1,Torugart,Inbound,,
road,People's Republic of China,P54,P54-2,Zuun Khatavch,Inbound,,
road,Tajikistan,P31,P31-1,Dusti,Inbound,2.1,82.0
road,Tajikistan,P46,P46-1,Fotehobod,Inbound,6.3,185.0
road,Tajikistan,P49,P49-2,Guliston,Inbound,,
road,Tajikistan,P33,P33-2,Istaravshan,Inbound,,
road,Tajikistan,P60,P60-2,Jalgan,Inbound,1.9,69.0
road,Tajikistan,P29,P29-1,Kanibadam,Inbound,,
road,Tajikistan,P16,P16-2,Karamyk,Inbound,,
road,Tajikistan,P47,P47-1,Khodjand,Inbound,,
road,Tajikistan,P50,P50-2,Kulma,Inbound,2.7,
road,Tajikistan,P30,P30-1,Nau,Inbound,,
road,Tajikistan,P04,P04-2,Panji Poyon,Inbound,7.1,185.0
road,Turkmenistan,P32,P32-2,Farap,Inbound,5.5,70.0
road,Turkmenistan,P57,P57-2,Imam Nazar,Inbound,,
road,Turkmenistan,P48,P48-1,Kunya Urganch,Inbound,,
road,Turkmenistan,P41,P41-1,Sarahs,Inbound,,
road,Turkmenistan,P55,P55-2,Serkhet Abad,Inbound,,
road,Turkmenistan,P58,P58-2,Serkhetyaka,Inbound,,
road,Turkmenistan,P36,P36-2,Turkmenbashi,Inbound,,
road,Uzbekistan,P32,P32-1,Alat,Inbound,,
road,Uzbekistan,P30,P30-2,Bekabad,Inbound,,
road,Uzbekistan,P21,P21-2,Dautota,Inbound,4.5,67.0
road,Uzbekistan,P14,P14-2,Dustlik,Inbound,0.8,22.0
road,Uzbekistan,P24,P24-2,Gisht Kuprik,Inbound,,
road,Uzbekistan,P23,P23-2,Keles,Inbound,,
road,Uzbekistan,P33,P33-1,Khavast,Inbound,,
road,Uzbekistan,P48,P48-2,Khodjayli,Inbound,,
road,Uzbekistan,P59,P59-1,Khodzhadavlet,Inbound,,
road,Uzbekistan,P29,P29-2,Kokland,Inbound,,
road,Uzbekistan,P46,P46-2,Oibek,Inbound,,
road,Uzbekistan,P31,P31-2,Saryasia,Inbound,3.8,3.0
road,Uzbekistan,P01,P01-2,Termez,Inbound,2.3,11.0
road,Uzbekistan,P45,P45-2,Uchkurgan,Inbound,,
road,Uzbekistan,P37,P37-2,Yallama,Inbound,1.1,15.0
